,Algorithms,Problem Size,Number of Nodes Considered,Number of Nodes Generated,Maximal Number of Nodes in the List,Computation Time
0,BB_C,10,12,12,11,0.003
1,BB_C,20,38,42,36,0.013
2,BB_C,30,48,62,46,0.028
3,BB_C,40,469,618,452,0.273
4,BB_C,50,884,1268,856,0.750
5,BB_C,60,1001,1548,973,1.219
6,BB_C,70,1093,1828,1065,1.827
7,BB_C-H,10,63,64,54,0.003
8,BB_C-H,20,223,229,204,0.015
9,BB_C-H,30,449,494,420,0.042
10,BB_C-H,40,1023,1173,976,0.130
11,BB_C-H,50,1696,2082,1631,0.273
12,BB_C-H,60,2256,2817,2181,0.432
13,BB_C-H,70,2866,3652,2781,0.637
14,BB_C-D,10,12,12,11,0.001
15,BB_C-D,20,42,42,40,0.009
16,BB_C-D,30,62,62,60,0.027
17,BB_C-D,40,1507,1507,1464,0.821
18,BB_C-D,50,3471,3471,3393,2.886
19,BB_C-D,60,4251,4251,4173,4.994
20,BB_C-D,70,5031,5031,4953,7.972
21,BB_C-A,10,64,64,55,0.002
22,BB_C-A,20,229,229,210,0.014
23,BB_C-A,30,494,494,465,0.043
24,BB_C-A,40,2062,2062,1989,0.261
25,BB_C-A,50,4285,4285,4170,0.707
26,BB_C-A,60,5520,5520,5395,1.153
27,BB_C-A,70,6855,6855,6720,1.629
