,Problem Size (N),TCT_SRPT,TCT_EST,TCT_PRTF,TCT_APRTF,RPI (%),Gap (A - S)
0,10,"2,904","3,374","2,910","2,910",0.0%,6
1,20,"7,267","11,202","7,290","7,460",-2.33%,193
2,30,"15,896","22,967","15,920","16,187",-1.68%,291
3,40,"26,662","39,152","26,808","27,038",-0.86%,376
4,50,"41,225","59,516","41,411","41,686",-0.66%,461
5,60,"62,408","84,560","62,638","62,931",-0.47%,523
6,70,"85,833","114,700","86,106","86,441",-0.39%,608
7,80,"112,053","150,461","113,261","112,734",0.47%,681
8,90,"144,855","190,995","146,253","145,608",0.44%,753
9,100,"179,452","236,427","181,021","180,302",0.4%,850
